GhostEshop.cia,http://cdn.ghosteshop.com/Homebrew/GhostEshop.cia
Pixel Paint,http://cdn.ghosteshop.com/Nintendo%203DS/USA/P/Pixel%20Paint%20%28USA%29.cia
Plants vs. Zombies (USA),http://cdn.ghosteshop.com/Nintendo%203DS/DSiWare/USA/P/Plants%20vs.%20Zombies%20%28USA%29.cia
Plants vs. Zombies (EUR),http://cdn.ghosteshop.com/Nintendo%203DS/DSiWare/EUR/P/Plants%20vs.%20Zombies%20%28Europe%2C%20Australia%29.cia
3D Classics - Kid Icarus,http://cdn.ghosteshop.com/Nintendo%203DS/EUR/1234567890/3D%20Classics%20-%20Kid%20Icarus%20%28EUR%29%20%28eShop%29.cia
3D Classics - Kirby's Adventure,http://cdn.ghosteshop.com/Nintendo%203DS/EUR/1234567890/3D%20Classics%20-%20Kirby%27s%20Adventure%20%28EUR%29%20%28eShop%29.cia
3D Classics - TwinBee,http://cdn.ghosteshop.com/Nintendo%203DS/USA/1234567890/3D%20Classics%20-%20TwinBee%20%28USA%29%20%28eShop%29.cia
3D Galaxy Force II,http://cdn.ghosteshop.com/Nintendo%203DS/USA/1234567890/3D%20Galaxy%20Force%20II%20%28USA%29%20%28En%2CFr%2CEs%29%20%28eShop%29.cia
3D Shinobi III - Return of the Ninja Master,http://cdn.ghosteshop.com/Nintendo%203DS/EUR/1234567890/3D%20Shinobi%20III%20-%20Return%20of%20the%20Ninja%20Master%20%28EUR%29%20%28eShop%29.cia
7th Dragon III Code: VFD (USA),http://cdn.ghosteshop.com/Nintendo%203DS/USA/1234567890/7th%20Dragon%20III%20Code%20-%20VFD%20%28USA%29.cia
7th Dragon III Code: VFD (EUR),http://cdn.ghosteshop.com/Nintendo%203DS/EUR/1234567890/7th%20Dragon%20III%20-%20Code%20VFD%20%28EUR%29.cia
7th Dragon III Code: VFD (JPN),http://cdn.ghosteshop.com/Nintendo%203DS/JPN/1234567890/7th%20Dragon%20III%20Code%20-%20VFD%20%28JPN%29.cia
7th Dragon III Code: VFD - DLC (USA),http://cdn.ghosteshop.com/Nintendo%203DS/USA/1234567890/7th%20Dragon%20III%20Code%20-%20VFD%20-%20DLC%20%28USA%29.cia
10-in-1 - Arcade Collection (EUR),http://cdn.ghosteshop.com/Nintendo%203DS/EUR/1234567890/10-in-1%20-%20Arcade%20Collection%20%28EUR%29%20%28eShop%29.cia
10-in-1 - Arcade Collection (USA),http://cdn.ghosteshop.com/Nintendo%203DS/USA/1234567890/10-in-1%20-%20Arcade%20Collection%20%28USA%29%20%28eShop%29.cia
Ambassador Certificate,http://cdn.ghosteshop.com/Nintendo%203DS/USA/A/Ambassador%20Certificate%20%28USA%29%20%28En%2CFr%2CEs%2CPt%29%20%28eShop%29.cia
Azure Striker Gunvolt,http://cdn.ghosteshop.com/Nintendo%203DS/USA/A/Azure%20Striker%20Gunvolt%20%28USA%29%20%28eShop%29.cia
Barbie - Groom and Glam Pups,http://cdn.ghosteshop.com/Nintendo%203DS/USA/B/Barbie%20-%20Groom%20and%20Glam%20Pups%20%28USA%29.cia
Bella Sara 2 - The Magic of Drasilmare,http://cdn.ghosteshop.com/Nintendo%203DS/EUR/B/Bella%20Sara%202%20-%20The%20Magic%20of%20Drasilmare%20%28EUR%29.cia
Bibi & Tina - Das Spiel zum Kinofilm,http://cdn.ghosteshop.com/Nintendo%203DS/EUR/B/Bibi%20%26%20Tina%20-%20Das%20Spiel%20zum%20Kinofilm%20%28EUR%29.cia
Bird Mania 3D,http://cdn.ghosteshop.com/Nintendo%203DS/EUR/B/Bird%20Mania%203D%20%28EUR%29%20%28En%2CFr%2CDe%2CEs%2CIt%29%20%28eShop%29.cia
